SMILES,neglog_molkg
O=[N+]([O-])c1ccc(Cl)cc1,2.473159076895423
Nc1ccc([N+](=O)[O-])cc1,1.9085510519027313
O=[N+]([O-])c1ccc(O)cc1,2.8623249833677393
O=[N+]([O-])c1ccc(CCl)cc1,1.9770356900099542
COc1ccc([N+](=O)[O-])cc1,1.8233522988638244
O=C(Cl)c1ccc(C(=O)Cl)cc1,1.9096073713666546
O=C(O)c1ccc(C(=O)O)cc1,1.2042559398955393
O=C=Nc1ccc([N+](=O)[O-])cc1,2.0110415256389502
CCOc1ccc([N+](=O)[O-])cc1,1.704628814775702
CCN(CC)CCCl,3.9019324560462096
CCN(CC)CCN,1.6134495912930298
CCN(CC)CCO,1.9549546136888927
C=CC1=CCCCC1,1.6254144288420453
C=Cc1ccccc1,1.5944217400553016
ClCc1ccccc1,2.1505626414637247
N#CC1CC=CCC1,2.3672586618851446
OCc1ccccc1,1.9440812538002077
O=Cc1ccccc1,1.8906809595640157
SCc1ccccc1,2.4013026495421115
N#Cc1cccnc1,1.9437824390436578
CNC1CCCCC1,2.451801781347931
CNc1ccccc1,2.155534675867252
NNc1ccccc1,2.7598445798357383
ONc1ccccc1,3.037936195916714
COc1ccccc1,1.4657846411726108
CSc1ccccc1,2.144271864782467
C=Cc1ccccn1,3.0217679726824063
O=CC1CCC=CO1,1.3577489730485888
CCN1CCOCC1,1.8109419893351335
CC(C)(O)Cc1ccccc1,2.0695206790430283
CC1CC(C)(C)OB(OC(C)CC(C)(C)OB2OC(C)CC(C)(C)O2)O1,1.8940138899351535
CCCCCCCCCCCCNC(=O)C[N+](C)(C)Cc1ccccc1.[Cl-],3.598841918935627
C1N2CN3CN1CN(C2)C3,1.1829292083984204
C[Si](C)(C)N=C=N[Si](C)(C)C,2.0329184789109895
Cc1cc(=O)[nH]o1,1.5029858572427508
CC(=O)OCC#N,3.4908754672404965
C=CCN.Cl,2.794985028212103
O=C(O)CCC(=O)OC1CCCCC1,1.488624466543748
OCc1ccc(OCCn2ccnc2)cc1,1.652329922318402
CCC(CC)COC(=O)CCCCC(=O)OCC(CC)CC,1.7478373809193648
COC(C)CC(=O)O,1.5909249282217952
CCCCC(CC)CCC(C)N,2.370505485050364
C=C(CO)C(=O)OCC,2.3220291241830378
Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12.[K+],2.5884225835364476
CCCC1CO1,1.770821760218337
Cl.Nc1ccncc1,3.6107200341211865
Cc1ncoc1C#N,2.1675383548691154
CCc1ccc(C)[n+](C(C)CCC(C)(C)CC(C)(C)C)c1.[Cl-],2.780781208019364
C=CCc1ccc(OC=O)c(OC)c1,1.7523060994917121
Cc1ccn(C(N)=O)n1,2.1782868229218306
O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1.[Na+].[Na+],1.6294411744783146
NCCOS(N)(=O)=O,1.2738976554233943
