RTECS_ID,SMILES,rat_oral_LD50,MW
7076531,CCS(=O)CCOP(=O)(OC)OC=C(Cl)Cl,3.451539433,311.12299999999993
52777921,CN(C)C(=S)c1ccc2c(c1)OCO2,3.423079883,209.26999999999995
7287196,CSc1nc(NC(C)C)nc(NC(C)C)n1,2.0604532,241.364
23261203,OC(C1CO1)C(O)C1CO1,4.018647011,146.14199999999997
6483154,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,3.099303547,246.35399999999996
73771252,OCC1OC(N2CCN(C3OC(CO)C(O)C(O)C3O)CC2)C(O)C(O)C1O,1.136107261,410.42000000000013
131920,O=C(Nc1cccc2c(=O)c3c(ccc4c5cc(NC(=O)c6ccccc6)c6c(=O)c7ccccc7c(=O)c6c5[nH]c43)c(=O)c12)c1ccccc1,2.045101863,665.6610000000002
439145,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.058258285,284.74600000000004
1031078,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.370993934,422.9280000000001
78386,CCOP(=O)(CC)OCC,1.853162721,166.15699999999998
2653396,C=Cc1ccc(OCC2CO2)cc1,2.246042874,176.21499999999997
60012900,O=C1OC(CN2CCOCC2)CC12CC(CN1CCOCC1)OC2=O,2.072376135,354.40300000000013
2438382,NS(=O)(=O)C1CCCCC1,3.30974192,163.24199999999996
137927798,CC(C)=NNC(=O)CSc1cc(Oc2ccc(Cl)cc2)ncn1,2.891885448,350.831
91167,COc1ccccc1OC,2.191011178,138.16599999999997
2984647,CCOP(=S)(CC)Sc1ccc(Cl)cc1,4.939166741,280.78200000000004
98476132,CCOC(=O)c1cnn(-c2cccc(C)c2)c1C#N,2.708041683,255.27700000000002
23239750,c1ccc(CC2CCNCC2)cc1,2.511326216,175.27499999999998
101827467,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,1.899650908,317.476
6609387,O=[N+]([O-])c1cc([N+](=O)[O-])c2nc(C(F)(F)F)[nH]c2c1,4.380038269,276.13
4752356,COP(=S)(OC)SCCSC,3.491047768,232.33199999999997
3226322,CCCCCCc1ccccc1O,2.137147093,178.275
706796,FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,2.941917639,244.94899999999996
6609434,O=[N+]([O-])c1c(Cl)cc2nc(C(F)(F)F)[nH]c2c1Cl,3.920852049,300.023
18361483,CCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(CC=O)CC(C)C(O)C=CC=CCC(C)OC(=O)CC(OC(C)=O)C3OC)C(O)C2N(C)C)CC1(C)O,1.920792696,799.9520000000001
94855057,O=C(Oc1cc(C(=O)Oc2cc(C(=O)OC3C(OC(=O)c4cc(O)c(O)c(O)c4)CC(O)(C(=O)O)CC3OC(=O)c3cc(O)c(O)c(O)c3)cc(O)c2O)cc(O)c1O)c1cc(O)c(O)c(O)c1,2.410750794,952.6920000000006
2969871,C=COC(=O)CCCCC(=O)OC,1.477604314,186.207
59333903,CC(C)NCC(O)COc1ccccc1C1CCCCC1,2.197369979,291.4350000000001
63580687,CCOP(=S)(OCC)SCSC(=S)N(C)C,3.328351057,319.47900000000004
351053,O=C(CF)Nc1ccc(Br)cc1,3.903187318,232.05199999999996
33499115,CCOC(=O)C1=CN(C(=O)CC)C2CCCC(C)N2C1=O,1.995670606,294.351
64622453,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,2.314975551,297.39799999999997
55652,N=C(N)NCCN1CCCCCCC1,2.276164075,198.31399999999994
70304,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.853301705,406.90700000000004
54941763,O=C(c1ccc(Cl)c(Cl)c1)c1ccccc1-c1ncc[nH]1,2.899238957,317.175
531817,O=C(O)c1cc2ccccc2oc1=O,2.97807547,190.15399999999997
72364911,Cc1cc2c(cc1C)C(=O)c1n[nH]nc1C2=O,2.365226214,227.22299999999998
20228277,CCOc1ccccc1C(=O)N/N=C(\C)C(=O)O,2.693373069,250.25399999999996
83940414,COc1ccc(O)c(C(C)(C)C)c1C(O)c1ncc([N+](=O)[O-])n1C,1.693002348,335.36000000000007
57583343,CCCCC(CC)COC(=O)CS[Sn](C)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC,2.907625721,743.7269999999997
100217514,CCC(CC)Nc1nnc(-c2ccccc2)c2ccccc12,1.56139658,291.3980000000001
27891141,CCC(C)N(C(=O)c1c(Cl)cccc1Cl)C(C)CC,2.318991123,302.2450000000001
23191755,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C(F)(F)F,2.511084124,397.39300000000003
123172623,CN1C(=O)COc2cc(C(=O)C=Cc3ccc(O)cc3)ccc21,2.18937941,309.321
104121,O=C=Nc1ccc(Cl)cc1,3.046421642,153.56799999999998
3426582,Cn1cc(CCc2cc[n+](CCC[N+](C)(C)C)cc2)c2ccccc21,3.227257936,337.511
96719663,COc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(O)cc1,2.520372161,331.415
80834793,O=c1ccc2cc(CCCCN3CCN(c4ccccc4)CC3)ccc2[nH]1,2.859125082,361.4890000000001
52205739,CC12CCC3c4ccc(OC(=O)N(CCCl)CCCl)cc4CCC3C1CCC2OP(=O)(O)O,1.983935183,520.3900000000002
41208075,CC1=CC(C)(C)Nc2ccc(Cc3ccc4c(c3)C(C)=CC(C)(C)N4)cc21,1.855554285,358.5290000000001
604751,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1.554364972,286.718
52572380,Cc1cc([N+]#N)ccc1N1CCCC1,3.340245762,188.25399999999993
5903139,CN(C(=O)CF)c1cccc2ccccc12,3.510870989,217.24300000000002
83261,CC(C)(C)C(O)=C1C(=O)c2ccccc2C1=O,2.915066127,230.26299999999998
4746616,CC(=O)Nc1ccccc1O,1.949002327,151.16499999999996
72542575,CSC(C)=NOC(=O)N(C)SN(C1CCCCC1)P1(=S)OCC(C)(C)CO1,1.755501354,455.6080000000003
14052803,CN1CCN(C(=O)N/N=C/c2ccc([N+](=O)[O-])o2)CC1,2.574065238,281.27200000000005
6659627,O=[N+]([O-])OCC1CO1,2.413066406,119.076
89427372,Cc1c(Cl)c(Br)c(Cl)c2[nH]c(C(F)(F)F)nc12,4.280014819,347.949
64529562,CCSc1nnc(C(C)(C)C)c(=O)n1N,2.581119036,228.321
35944731,O=S(=O)(F)C1CCC(S(=O)(=O)F)C1,4.472043238,234.24499999999998
30544651,CCOc1ccc(N(CCCC(=O)O)C(=O)c2ccc(Cl)cc2)cc1,2.257468575,361.82500000000005
10415879,CCC(C)(O)CCc1ccccc1,1.781268429,178.275
151327036,CCCc1[nH]c2ncnn2c(=O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,3.138257424,412.45700000000005
74550962,CCCc1nc(NC(=N)N)oc1CCC,2.021770038,210.28099999999995
3398694,CCN(N=O)C(C)(C)C,1.91046098,130.19099999999997
79141,O=C(O)CO,1.310152823,76.051
536334,CCc1cc(C(N)=S)ccn1,2.10018511,166.24900000000002
132809,O=C(CCl)OC1=C(OC(=O)CCl)C(=O)OC1=O,1.849755601,283.019
50765849,CC(C)=CCC(C#N)(CCN(C)C)Cc1cccc2ccccc12,2.602710945,320.4800000000001
106718,C=CC(=O)OCCC#N,2.842078527,125.127
1851714,CCOC(=S)SSSSC(=S)OCC,3.04716296,306.5460000000001
4880824,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,2.787330976,355.4340000000002
75605855,CC(=O)C1=CCC2C3(C)CCC4C(C)(C)CCCC4(C)C3CC(OC(=O)CC(C)O)C2(C)C1C=O,9.541127064,486.6930000000002
1461252,CCCC[Sn](CCCC)(CCCC)CCCC,2.437429191,347.1750000000002
4189100,CCC(CC)C(=O)OCC(Cl)(Cl)Cl,2.439418667,247.54899999999998
58955810,Clc1ccc(C2=NCOCS2)cc1,2.630812162,213.689
4658280,CSc1nc([N-][N+]#N)nc(NC(C)C)n1,1.796422064,225.28100000000003
83275552,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1CC2,3.472406635,409.53000000000026
302705,C[N+]([O-])(CCCl)CCCl,3.457516048,172.055
61318910,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,2.358820152,397.75800000000015
20866131,CC1N(c2ccccc2)C(=O)c2ccccc2N1C(=O)CN1CCOCC1,2.330319897,365.4330000000002
63883136,CCN(CC)CCOC(=O)Cc1ccc2c(c1)OCc1ccccc1C2=O,3.389101083,367.4450000000001
77770,C=CS(=O)(=O)C=C,3.567309477,118.15699999999998
93027,COc1ccc(OC)c(C=O)c1,1.715418323,166.176
2235123,C=CC=CC=C,2.581575848,80.13
91441,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,1.912621251,231.29499999999996
117467284,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,2.085336058,620.735
120785,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,1.442610404,332.50000000000006
96892567,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(F)cc1,2.504306357,319.379
50539667,CN(Sc1ccccc1)C(=O)Oc1cccc2c1OC(C)(C)C2,4.119811273,329.4210000000001
3871827,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,3.368938596,355.4530000000001
1077287,O=C(O)CCCCC1CCSS1,2.261488144,206.332
111228,O=[N+]([O-])OCCOCCOCCO[N+](=O)[O-],2.380515141,240.16799999999995
123433,O=C(O)CS(=O)(=O)O,1.646800648,140.116
151382,COCC[Hg]OC(C)=O,4.105472033,318.7220000000001
2778418,CC(C)(N=C=O)c1ccc(C(C)(C)N=C=O)cc1,1.387912801,244.29399999999998
86598927,Clc1ccc(CSC(Cn2cncn2)=Nc2ccc(Cl)cc2Cl)cc1,2.167470303,411.7450000000001
21608060,CCN(CCC(=O)OC)c1ccccc1,1.927376649,207.273
13171227,COP(=O)(OC)OCCNC(=O)C=C(C)Cl,3.865787201,271.63699999999994
21270155,CCCCCCCCOC(CBr)c1ccc(C2CCCCC2)cc1,3.199124115,395.42500000000024
81103119,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,2.770076975,747.9640000000002
2338309,FC(F)(F)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,5.000017313,501.7200000000001
61278986,CCNC1CCCCC1,2.296617915,127.23100000000001
167375271,CCCc1[nH]c2ccnn2c(=O)c1Cc1ccc(-c2ccccc2C(N)=O)cc1,3.109977676,386.45500000000004
64038524,c1cc(CC2CO2)cc(CC2CO2)c1,1.65709238,190.24199999999996
112265,ClCCOCCOCCCl,2.874054851,187.06599999999997
74940617,COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,2.987082689,333.91899999999987
60244577,CCCOP(=S)(OC)Oc1cnn(C)c(=O)c1OC,4.75657413,308.29600000000005
132449899,Clc1cnn(CCCCN2CCN(c3ncccn3)CC2)c1,2.933400662,320.8280000000001
90722,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,2.344721309,265.40099999999995
112668630,CCCc1c(OCc2cccn3c(=O)c(CC(=O)O)cnc23)ccc(C(C)=O)c1O,2.011174874,410.4260000000001
58994960,COC1OC(CNC(=O)N(CCCl)N=O)C(O)C(O)C1O,3.848986291,327.721
72548,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,3.45213396,320.04600000000005
