RTECS_ID,SMILES,rat_oral_LD50
21209143,O=S(=O)(O)SCCNCCCCCC1CCCCCC1,
34811159,Cc1ccc2nc3c(c(NCC(C)C)c2c1)CCCC3,
70637002,CC12COC(c3ccccc3)(OC1)OC2,
41288259,Cc1cc(OCCCCCCN2CCSC2)nc2ccccc12,
2183564,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5,
61356089,O=C1C2=C(CCCC2)C(=O)N1c1nnc[nH]1,
53206772,CCOC(=O)c1c(C)ccc(C(C)C)c1OCC(=O)OCCN1CCCCC1,
62646371,COc1ccc(S(=O)(=O)NNS(=O)(=O)c2ccccc2)cc1,
3468073,Cc1c(-c2ccccc2)oc2c(C(=O)OCCCN(C)C)cccc2c1=O,
75159385,CNCn1cnc2ccccc2c1=O,
7076531,CCS(=O)CCOP(=O)(OC)OC=C(Cl)Cl,3.451539433
61468437,Oc1cccc2c1CCCN2,
144333802,O=C(O)C=CC(=O)NN=C(c1ccccc1)c1ccccc1,
97612243,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,
52777921,CN(C)C(=S)c1ccc2c(c1)OCO2,3.423079883
122975875,Cc1ccccc1N1C(=N)OC(=CC(=O)c2ccc(Cl)cc2)C1=O,
108051349,CN(C)c1ccc(C=CC(=O)c2cc(Br)c(O)cc2O)cc1,
85564858,O=C(CN1CCOCC1)Nc1c2c(cc3c1CCC3)CCC2,
7287196,CSc1nc(NC(C)C)nc(NC(C)C)n1,2.0604532
23261203,OC(C1CO1)C(O)C1CO1,4.018647011
82140667,CCCCN=c1sc2nc(C)cc(C(=O)OC)c2c(=O)n1C,
3246502,O=[N+]([O-])c1ccc(NP(=O)(Oc2ccccc2)Oc2ccccc2)nc1,
56898250,Cc1cc(OCC[N+]2(C)CCOCC2)c2cccc(C)c2n1,
93087888,CCN(CC)C(=O)CN(C)c1ccccc1,
57436132,CCn1c(-c2ccccc2)c2[nH]c(=O)nc(-c3ccccc3)c2c1C,
61356045,O=C1C2CC=CCC2C(=O)N1c1cccc(OCCN2CCCCC2)c1,
6483154,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,3.099303547
89568070,COc1ccccc1-c1nn(-c2ccc(Br)cc2)[n+](C(=O)c2ccccc2O)n1,
58344948,COc1ccc(OC)c(C(O)C=Cc2ccc3c(c2)OCO3)c1,
82608126,Cc1cc(=S)c(N)nn1C,
52849737,Cc1ccc(N2CCN(C(=O)CCN(c3ccccc3)c3ccccc3)CC2)cc1C,
108112250,O=C1Nc2ccccc2/C1=N\NC(=S)Nc1ccc(C=Cc2ccccc2)cc1,
73771252,OCC1OC(N2CCN(C3OC(CO)C(O)C(O)C3O)CC2)C(O)C(O)C1O,1.136107261
23623316,C=C(O)C(=O)NC1C=C(C)C=CC(O)CC=C(C)C=CC(O)CC2OC(=O)C1(C)C(=O)C2C,
72606656,CC(Cc1ccccc1)N(C)CCC(=O)N/N=C/c1ccc2ccccc2c1,
35842616,ClCC1(CI)COC1,
78798080,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(OC5CC(OC6CC(OC7CC(O)C(O)C(C)O7)C(OC7CC(O)C(OC)C(C)O7)C(C)O6)C(O)C(C)O5)C(C)CC(C)C4C3(C)C(=O)C3=C(O)C4(CC(C)C(CO)=CC4C=C2C)OC3=O)CC1(C)[N+](=O)[O-],
17427097,CCCC(O)C=CC=O,
665678,C=CCP(=O)(CC=C)OC(C)C,
64511735,CC(=O)Nc1ccc(OCC(O)CN2CCC(O)(c3ccccc3)CC2)cc1,
4741757,COc1ccc(C(c2ccc(OC)cc2)C(C)C)cc1,
81718721,Cc1ccc2oc(C(=O)N(C)C)c(C)c2c1,
78172960,CCCCCCCCCCCC(=O)NCc1ccccc1,
120626928,CC(C)CC(N)C(=O)N1CCS[Ge]1(C)c1ccccc1,
17895953,OC1c2ccccc2CCc2ncccc21,
10382351,CC1NC(=O)C(NC(=O)c2cnc3ccccc3n2)COC(=O)C(C(C)C(C)C)N(C)C(=O)C2CSSCC(C(=O)N(C)C(C(C)C(C)C)C(=O)OCC(NC(=O)c3cnc4ccccc4n3)C(=O)NC(C)C(=O)N2C)N(C)C1=O,
131920,O=C(Nc1cccc2c(=O)c3c(ccc4c5cc(NC(=O)c6ccccc6)c6c(=O)c7ccccc7c(=O)c6c5[nH]c43)c(=O)c12)c1ccccc1,2.045101863
27778923,CCC(C)C(CN(C)C)c1ccc(OC)c(F)c1,
62783953,CCCCC(=O)N1CCCCC1c1cccnc1,
116990035,COc1ccc(/C(C)=N/NC(=O)Cn2c3ccc(Cl)cc3c3nc4ccccc4nc32)cc1,
34543527,CC(C)CC(CN(C)C)c1ccccc1,
187231658,CCN(CC)CCNC(=O)c1n[nH]c2c(F)cccc2c1=O,
4370803,C=C(CO)C(=O)O,
88116590,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NC(CO)CO)c(I)c(N(C(C)=O)C(O)CO)c1I,
6155471,CC1CCC2C(C)C3C(CC4C5CC=C6CC(O)CCC6(C)C5CC(O)C43C)N2C1,
13551865,O=[N+]([O-])c1nccn1CC(O)CCl,
21208888,O=S(=O)(O)SCCNCCCC1CCC1,
2469183,CC(N)C1COc2ccccc2O1,
160282144,CC(=NNC(=O)C=CC(=O)O)c1ccccc1,
25451438,CC(C)C(COC(N)=O)(COC(N)=O)C(C)C,
63887310,C=CCNC(=O)c1cc(Cl)c(N)c(Cl)c1,
439145,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.058258285
19972000,COc1ccc(CN2CCN(CC(O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)CC2)cc1,
109725759,CC(C(=O)NC(C)(C)CC(C)(C)C)N1CCOCC1,
96804341,CCCC(=O)N(CCC(=O)OC)N(C)C,
1031078,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.370993934
7271809,COc1ccccc1OCC(CO)(CO)CO,
23771100,COc1cc(C(=O)CCCN2CCN(c3ccc(F)cc3)CC2)cc(OC)c1OC,
139477411,O=C1CC(c2ccccc2)C(=O)N1C1CCCCC1,
3170727,CC[N+](C)(C)Cc1ccccc1Br,
89663229,CCOC(=O)N1CCN(CCc2scnc2C)CC1,
204024,c1cc2cccc3[nH]cnc(c1)c23,
65876155,COc1cc(OCC(=O)NCCCN2CCN(CCCNC(=O)COc3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,
55798635,Cc1ccc(C)c(C(O)(C(=O)OCCN2CCCC2)c2ccccc2)c1,
63980870,C#CCSP(=O)(OCC)OCc1ccoc1,
96159943,CC1CC2N=C(c3ccccc3)SC2CC1C,
72575532,CN(C)C1CCc2ccccc2C(Oc2ccccc2[N+](=O)[O-])C1,
78386,CCOP(=O)(CC)OCC,1.853162721
110406832,O=c1c2ccccc2c(Cc2ccc(F)cc2)nn1C1CCCN(CCc2cccc(C(F)(F)F)c2)CC1,
102433669,O=C(NCCCl)NC1CCc2ccccc2C1,
57494903,CN(C(=O)NC1CCCCC1)c1ccc(OCC(O)CNC(C)(C)C)cc1,
33318580,CCC(C)C(C=NCC(CCN(C)C)(c1cccc2ccccc12)C(C)CC)(CCN(C)C)c1cccc2ccccc12,
28657036,CCN(CC)CCOC(=O)C1CCC(C)CC1,
15103078,CC(CN)C1(O)c2ccccc2-c2ccccc21,
30533778,C#CCOc1ccc(N)cc1C(=O)NCCC,
68060991,COc1cc(NC(=O)N2CCOC(C)C2)cc(OC)c1OC,
2653396,C=Cc1ccc(OCC2CO2)cc1,2.246042874
83255678,CCC1CNCCC1CCC(O)c1ccnc2ccc(OC)cc12,
73713710,CCOC(=O)c1ccc2oc(=O)c(C(=O)C=O)cc2c1,
70891542,CC(C)CSC(Cn1ccnc1)(SCC(C)C)c1ccc2ccccc2c1,
3323011,O=Nc1c(-c2ccc([N+](=O)[O-])cc2)nc2ccccn12,
60012900,O=C1OC(CN2CCOCC2)CC12CC(CN1CCOCC1)OC2=O,2.072376135
64058066,C[N+](C)(C)CC[N+]1(C)CC2CCCC(C2)C1,
104373526,Cc1cc([N+](=O)[O-])cc(C)c1C(=O)NCCN1CCN(c2ccccn2)CC1,
34848390,OC(CC(O)(C(F)(F)Cl)C(F)(F)Cl)c1ccco1,
69006877,CN(C)c1ccc(C2CC(=O)NC2=O)cc1,
99448949,O=C1/C(=N/NS(=O)(=O)c2ccccc2)c2cc(Cl)ccc2N1C(=O)c1ccccc1,
77952,O=C(O)C1(O)CC(O)C(O)C(O)C1,
40748536,Cc1ccccc1NC(=O)Cc1ccccc1,
63887194,Nc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,
25290157,CCN(CC)C(=O)CC(O)C(Cl)(Cl)Cl,
20014102,CC(C)NCC(O)CNc1ccc(Oc2ccccc2)cc1,
109901817,O=C1C(=Cc2ccccc2)N=C(CCNc2ccccc2)N1C(=S)N/N=C/c1ccccc1,
27241992,Cc1ccc(N(Cc2ccccc2)C(=O)CN2CCOCC2)cc1,
127311,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,
109619354,CC(=O)C1=C(C)NC(=S)C(C#N)C1c1cccnc1,
73944453,O=C(c1ccc[n+](COC[n+]2ccc(C=NO)cc2)c1)C1CCCCC1,
21561182,COc1cccc(C)c1NC1=NCCO1,
2438382,NS(=O)(=O)C1CCCCC1,3.30974192
72612056,O=C(NCCCc1c[nH]c2ccccc12)c1cccnc1,
1578569,CCCC(F)C(=O)O,
65384852,C=CCN1C(=O)CCc2c(OCC(O)CNC(C)(C)C)cccc21,
114566459,O=C1COc2ccc(-c3csc(-c4ccccc4)n3)cc2N1,
96550673,CC(=O)Oc1ccc2ccccc2c1C=CC=Nc1ccccc1,
137150471,CCC(O)c1ccc2c(c1)OCCCCO2,
97703087,CCN(CC)CC(=O)N(C)CCc1ccccc1,
63884957,CC(C)(C)Cc1ccc(CC(=O)NO)cc1,
76239286,CC(C)Oc1cccc2cc(-c3nn[nH]n3)c(=O)oc12,
137927798,CC(C)=NNC(=O)CSc1cc(Oc2ccc(Cl)cc2)ncn1,2.891885448
50539850,Cc1ccccc1SN(C)C(=O)Oc1ccccc1OC(C)C,
64647310,CCN(CC)CCC(C#N)(c1cccs1)C(C)C,
3805514,COC(=O)CN(N=Cc1ccc([N+](=O)[O-])o1)C(N)=O,
407818,FCC=CCF,
4636797,O=C(C[n+]1ccc(-c2cc[n+](CC(=O)N3CCCCC3)cc2)cc1)N1CCCCC1,
92156984,CCCOc1ccc(C(=O)O)c(C)c1CC,
36889164,CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(C(C)N)C(O)C(O)C3O)C2O)OCC1(C)O,
102259654,CCN(CC)CCCNc1ccnc2cc(Cl)c([N+](=O)[O-])cc12,
104417052,CCCCCCc1cc(=O)n(CCCN2CCN(c3cc(C)ccn3)CC2)n1-c1ccccc1,
77587930,CCCC(O)N(Cc1c(-c2cccnc2)[nH]c2ccccc12)C1=NCCN1,
57611548,NC1(C(=O)O)CCN(Cc2ccc(Cl)cc2)CC1,
91167,COc1ccccc1OC,2.191011178
13640556,O=C1CCCC1Cc1ccccn1,
64048631,COC1=CC(=O)C(N(CCCl)CCCl)=CC1=O,
2984647,CCOP(=S)(CC)Sc1ccc(Cl)cc1,4.939166741
100650702,CCn1cnc2c1CCOC2CNC(=S)NC(C)C,
64640717,O=[N+]([O-])c1ccc(C=NNCc2nnc(Cl)c3ccccc23)cc1,
125981922,CN(C)CCCOc1cccc2c1Sc1ccccc1CC2=O,
101756314,N#CC(C#N)=CN1CCCCCC1,
66942061,CC(C)=CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,
81075141,CCC(=O)N1CCC(=NO)c2cc(Cl)ccc21,
105522790,CCOC(=O)Cc1sc(NC(=O)CCl)c(C(=O)OCC)c1C,
63146612,O=CN1CCN(C=C2N=C3CN=C(c4ccccc4)c4cc(Cl)ccc4N3C2=O)CC1,
63917624,CCN(CC)CC(C)C1(c2ccccc2)C(=O)Oc2ccccc21,
16270567,CC(C)N1CCN(c2cc3ccccc3c(=O)c3ccccc23)CC1,
67427650,Cc1ccccc1NCC(O)CNC(=N)N,
56231551,COc1cccc(C23CCCC(C2)N(C)C3C)c1,
98476132,CCOC(=O)c1cnn(-c2cccc(C)c2)c1C#N,2.708041683
956047,O=C(C=Cc1ccc(Cl)cc1)c1ccccc1,
23571393,CCc1cnc([N+](=O)[O-])n1CCO,
32412183,CC(C)Oc1ccc(C(=S)NCCCN2CCCC2)cc1,
23239750,c1ccc(CC2CCNCC2)cc1,2.511326216
31894936,CNc1nc2c(s1)c(=O)n(C)c(=O)n2C,
1833314,C[Si](C)(Cl)Cc1ccccc1,
101831952,O=[N+]([O-])c1ccc2[nH]cc(CN3CCCCCC3)c2c1,
109901828,Cc1ccccc1/C=N/NC(=S)N1C(=O)C(=Cc2ccccc2)N=C1CCNc1ccccc1C,
69352778,CC(=O)NCCSC(O)C(Cl)(Cl)Cl,
67351148,CN1CCN(S(=O)(=O)C2c3ccccc3CCc3ccccc32)CC1,
73927512,Cc1ccc(C(=O)OCCNC(C)Cc2cccc(C(F)(F)F)c2)cc1,
15804190,O=c1[nH]c2ccccc2nc1O,
7192521,C=CCOc1c(CCC)cc(CNC)cc1CCC,
3996041,CNP1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,
101827467,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,1.899650908
86398905,CCNC(=S)NCC(COCC)N1CCOCC1,
6609387,O=[N+]([O-])c1cc([N+](=O)[O-])c2nc(C(F)(F)F)[nH]c2c1,4.380038269
116850647,CCn1c(SC)nnc1-c1ccccc1F,
1509100,CCCC(=O)c1c(O)cc(OC)c(Cc2c(O)c(C(=O)CCC)c(O)c(C)c2OC)c1O,
56071364,Cc1ccc2c(c1)C(NC=O)CCCO2,
79039091,COCC1CN(c2ccc(C#Cc3cccc(C#N)c3)cc2)C(=O)O1,
69578809,CCOC(=O)C1CCCC/C1=N\Nc1ccc(Cl)nn1,
4752356,COP(=S)(OC)SCCSC,3.491047768
24493843,CN(C)CCC=C1c2ccccc2[Se]c2ccc(Cl)cc21,
11029702,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,
23892571,c1ccc(CC(NCCN2CCN(c3nccs3)CC2)c2ccccc2)cc1,
67351251,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3cccnc32)CC1,
117941625,CC(OC[n+]1ccn(C)c1C=NO)C1CCCCC1,
125103493,Cc1c(C(=O)N2CCOCC2)c(-c2ccccc2)nn1-c1ccccc1,
3226322,CCCCCCc1ccccc1O,2.137147093
26899934,O=C1OC2c3ccccc3CC1c1ccccc12,
3012371,N#CSCc1ccccc1,
29082324,Cc1ccc(C(=O)Oc2c([N+](=O)[O-])ccc3cccnc23)cc1,
34777043,O=c1ccccc(O)c1O,
30195632,CCCCN(CCCC)CCC(=O)c1ccc(OCCC)c(CC)c1,
77966508,CCN(CC)CC(=O)Nc1c(C)cccc1Cl,
35438701,CCN(CC)CCOB(OCCN(CC)CC)OCCN(CC)CC,
76777258,c1ccc2c(c1)C1CCCNC2C1,
706796,FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,2.941917639
74927030,Cc1c(C(C)C)ccc(C(C)C)c1O,
31252581,NC(=O)N1CCC(Cc2ccccc2)CC1,
96977412,CC1(C)OC2(C)CCC1CC2NC(=O)c1ccc(N)cc1,
72042058,Cc1cc(N/C(=N\c2nncs2)NC(C)(C)C)c2ccccc2n1,
81862035,CSC(=NOC(=O)N(C)S(=O)OCC12OCC3OC(C)(C)OC3C1OC(C)(C)O2)C(=O)N(C)C,
77791674,CCN(CC)CCN(C)CC(=O)Nc1ccccc1OC,
71547881,CCOC(=O)C(C)(CC)Oc1ccc(Cl)cc1,
102411007,CCOCCN(C(=O)CCl)c1ccccc1,
23959355,CCCCOc1c(I)cc(C(=O)NNC(C)C)cc1I,
55417135,COc1nc(N(C)c2ccccc2)nc(NCCN(C)C)c1SC,
36233199,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)OCC(O)CO)c2c1,
67625085,CN1CCOC1c1ccccc1Cl,
99952439,O=CC1CCCN1C(=O)CNC(=O)OCc1ccccc1,
85868775,CCNC(=S)Nc1ccc(OCCCN2CCN(c3ccccc3OC)CC2)cc1,
6609434,O=[N+]([O-])c1c(Cl)cc2nc(C(F)(F)F)[nH]c2c1Cl,3.920852049
80844128,CC(=O)c1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,
20120847,CC(=O)N(C)C(=O)Oc1ccc(N)c(C)c1,
2216775,CCCCOCC(O)COCCCC,
2211576,N=C(N)NCc1ccccc1,
74976242,CN1CCN(c2ncc3c(c2C#N)N(Cc2ccccc2)CC3)CC1,
26771608,C=CCc1cc(OC)c(O)c(C(=O)NC2CCCCC2)c1,
125674579,O=P(O)(O)CC1CC(c2ccc(Cl)cc2)=NO1,
6490966,O=C(Nc1ccc(Br)cc1)c1cc([N+](=O)[O-])ccc1O,
23959468,COc1c(Cl)cc(C(=O)NNC(C)C)cc1Cl,
18361483,CCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(CC=O)CC(C)C(O)C=CC=CCC(C)OC(=O)CC(OC(C)=O)C3OC)C(O)C2N(C)C)CC1(C)O,1.920792696
71160139,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C=Cc1ccco1,
3117382,O=C(O)C(Oc1ccccc1)c1ccccc1,
94855057,O=C(Oc1cc(C(=O)Oc2cc(C(=O)OC3C(OC(=O)c4cc(O)c(O)c(O)c4)CC(O)(C(=O)O)CC3OC(=O)c3cc(O)c(O)c(O)c3)cc(O)c2O)cc(O)c1O)c1cc(O)c(O)c(O)c1,2.410750794
41932063,CSc1ccc2c(c1)C(N(C)CC[N+](O)=CCCO)Cc1ccccc1S2,
74007866,CCN(CC)CC(Cc1cccs1)OC(=O)c1cc(OC)c(OC)c(OC)c1,
23802155,CC(C)c1ccc(O)c(Cc2ccc(Cl)cc2)c1,
2969871,C=COC(=O)CCCCC(=O)OC,1.477604314
67050424,C=C(C)CC1(C(C)CC)C(=O)NC(=O)NC1=O,
112806232,Cc1ccccc1C(=O)N1C(=O)C(=Cc2ccccc2Cl)NC1=S,
